gvkey,tic,datadate,revtq,niq,atq
001690,AAPL,2015-03-31,58010.0,13569.0,261194.0
001690,AAPL,2015-06-30,49605.0,10677.0,273151.0
001690,AAPL,2015-09-30,51501.0,11124.0,290479.0
001690,AAPL,2015-12-31,75324.0,18361.0,293284.0
001690,AAPL,2016-03-31,50557.0,10516.0,305277.0
001690,AAPL,2016-06-30,42358.0,7796.0,305602.0
001690,AAPL,2016-09-30,46852.0,9014.0,321686.0
001690,AAPL,2016-12-31,78351.0,17891.0,331141.0
001690,AAPL,2017-03-31,52896.0,11029.0,334532.0
001690,AAPL,2017-06-30,45408.0,8717.0,345173.0
001690,AAPL,2017-09-30,52579.0,10714.0,375319.0
001690,AAPL,2017-12-31,88293.0,20065.0,406794.0
001690,AAPL,2018-03-31,61137.0,13822.0,367502.0
001690,AAPL,2018-06-30,53029.0,11519.0,349197.0
001690,AAPL,2018-09-30,62900.0,14125.0,365725.0
001690,AAPL,2018-12-31,84310.0,19965.0,373719.0
001690,AAPL,2019-03-31,58015.0,11561.0,341998.0
001690,AAPL,2019-06-30,53809.0,10044.0,322239.0
001690,AAPL,2019-09-30,64040.0,13686.0,338516.0
001690,AAPL,2019-12-31,91819.0,22236.0,340618.0
001690,AAPL,2020-03-31,58313.0,11249.0,320400.0
001690,AAPL,2020-06-30,59685.0,11253.0,317344.0
001690,AAPL,2020-09-30,64698.0,12673.0,323888.0
001690,AAPL,2020-12-31,111439.0,28755.0,354054.0
001690,AAPL,2021-03-31,89584.0,23630.0,337158.0
001690,AAPL,2021-06-30,81434.0,21744.0,329840.0
001690,AAPL,2021-09-30,83360.0,20551.0,351002.0
001690,AAPL,2021-12-31,123945.0,34630.0,381191.0
001690,AAPL,2022-03-31,97278.0,25010.0,350662.0
001690,AAPL,2022-06-30,82959.0,19442.0,336309.0
001690,AAPL,2022-09-30,90146.0,20721.0,352755.0
001690,AAPL,2022-12-31,117154.0,29998.0,346747.0
001690,AAPL,2023-03-31,94836.0,24160.0,332160.0
001690,AAPL,2023-06-30,81797.0,19881.0,335038.0
001690,AAPL,2023-09-30,89498.0,22956.0,352583.0
001690,AAPL,2023-12-31,119575.0,33916.0,353514.0
001690,AAPL,2024-03-31,90753.0,23636.0,337411.0
001690,AAPL,2024-06-30,85777.0,21448.0,331612.0
001690,AAPL,2024-09-30,94930.0,14736.0,364980.0
001690,AAPL,2024-12-31,124300.0,36330.0,344085.0
001690,AAPL,2025-03-31,95359.0,24780.0,331233.0
001690,AAPL,2025-06-30,94036.0,23434.0,331495.0
001690,AAPL,2025-09-30,102466.0,27466.0,359241.0
001690,AAPL,2025-12-31,143756.0,42097.0,379297.0
001161,AMD,2015-03-31,1030.0,-180.0,3428.0
001161,AMD,2015-06-30,942.0,-181.0,3381.0
001161,AMD,2015-09-30,1061.0,-197.0,3229.0
001161,AMD,2015-12-31,958.0,-102.0,3109.0
001161,AMD,2016-03-31,832.0,-109.0,2981.0
001161,AMD,2016-06-30,1027.0,69.0,3316.0
001161,AMD,2016-09-30,1307.0,-406.0,3616.0
001161,AMD,2016-12-31,1106.0,-51.0,3321.0
001161,AMD,2017-03-31,1178.0,-33.0,3299.0
001161,AMD,2017-06-30,1151.0,-42.0,3370.0
001161,AMD,2017-09-30,1584.0,61.0,3586.0
001161,AMD,2017-12-31,1340.0,-19.0,3540.0
001161,AMD,2018-03-31,1647.0,81.0,3763.0
001161,AMD,2018-06-30,1756.0,116.0,4103.0
001161,AMD,2018-09-30,1653.0,102.0,4347.0
001161,AMD,2018-12-31,1419.0,38.0,4556.0
001161,AMD,2019-03-31,1272.0,16.0,4931.0
001161,AMD,2019-06-30,1531.0,35.0,5102.0
001161,AMD,2019-09-30,1801.0,120.0,5253.0
001161,AMD,2019-12-31,2127.0,170.0,6028.0
001161,AMD,2020-03-31,1786.0,162.0,5864.0
001161,AMD,2020-06-30,1932.0,157.0,6583.0
001161,AMD,2020-09-30,2801.0,390.0,7023.0
001161,AMD,2020-12-31,3244.0,1781.0,8962.0
001161,AMD,2021-03-31,3445.0,555.0,10047.0
001161,AMD,2021-06-30,3850.0,710.0,10691.0
001161,AMD,2021-09-30,4313.0,923.0,11153.0
001161,AMD,2021-12-31,4826.0,974.0,12419.0
001161,AMD,2022-03-31,5887.0,786.0,66915.0
001161,AMD,2022-06-30,6550.0,447.0,67502.0
001161,AMD,2022-09-30,5565.0,66.0,67811.0
001161,AMD,2022-12-31,5599.0,21.0,67580.0
001161,AMD,2023-03-31,5353.0,-139.0,67634.0
001161,AMD,2023-06-30,5359.0,27.0,67967.0
001161,AMD,2023-09-30,5800.0,299.0,67626.0
001161,AMD,2023-12-31,6168.0,667.0,67885.0
001161,AMD,2024-03-31,5473.0,123.0,67895.0
001161,AMD,2024-06-30,5835.0,265.0,67886.0
001161,AMD,2024-09-30,6819.0,771.0,69636.0
001161,AMD,2024-12-31,7658.0,482.0,69226.0
001161,AMD,2025-03-31,7438.0,709.0,71550.0
001161,AMD,2025-06-30,7685.0,872.0,74820.0
001161,AMD,2025-09-30,9246.0,1243.0,76891.0
001161,AMD,2025-12-31,10270.0,1511.0,76926.0
006008,INTC,2015-03-31,12781.0,1992.0,89566.0
006008,INTC,2015-06-30,13195.0,2706.0,90492.0
006008,INTC,2015-09-30,14465.0,3109.0,98552.0
006008,INTC,2015-12-31,14914.0,3613.0,103065.0
006008,INTC,2016-03-31,13702.0,2046.0,105467.0
006008,INTC,2016-06-30,13533.0,1330.0,109831.0
006008,INTC,2016-09-30,15778.0,3378.0,112217.0
006008,INTC,2016-12-31,16374.0,3562.0,113327.0
006008,INTC,2017-03-31,14796.0,2964.0,115648.0
006008,INTC,2017-06-30,14763.0,2808.0,122107.0
006008,INTC,2017-09-30,16149.0,4516.0,127088.0
006008,INTC,2017-12-31,17053.0,-687.0,123249.0
006008,INTC,2018-03-31,16066.0,4454.0,128596.0
006008,INTC,2018-06-30,16962.0,5006.0,125972.0
006008,INTC,2018-09-30,19163.0,6398.0,128242.0
006008,INTC,2018-12-31,18657.0,5195.0,127963.0
006008,INTC,2019-03-31,16061.0,3974.0,129458.0
006008,INTC,2019-06-30,16505.0,4179.0,130759.0
006008,INTC,2019-09-30,19190.0,5990.0,133768.0
006008,INTC,2019-12-31,20209.0,6905.0,136524.0
006008,INTC,2020-03-31,19828.0,5661.0,147710.0
006008,INTC,2020-06-30,19728.0,5105.0,152539.0
006008,INTC,2020-09-30,18333.0,4276.0,145261.0
006008,INTC,2020-12-31,19978.0,5857.0,153091.0
006008,INTC,2021-03-31,19673.0,3361.0,150622.0
006008,INTC,2021-06-30,19631.0,5061.0,154597.0
006008,INTC,2021-09-30,19192.0,6823.0,167962.0
006008,INTC,2021-12-31,20528.0,4623.0,168406.0
006008,INTC,2022-03-31,18353.0,8113.0,176356.0
006008,INTC,2022-06-30,15321.0,-454.0,170418.0
006008,INTC,2022-09-30,15338.0,1019.0,174841.0
006008,INTC,2022-12-31,14042.0,-664.0,182103.0
006008,INTC,2023-03-31,11715.0,-2758.0,185303.0
006008,INTC,2023-06-30,12949.0,1481.0,185629.0
006008,INTC,2023-09-30,14158.0,297.0,188837.0
006008,INTC,2023-12-31,15406.0,2669.0,191572.0
006008,INTC,2024-03-31,12724.0,-381.0,192733.0
006008,INTC,2024-06-30,12833.0,-1610.0,206205.0
006008,INTC,2024-09-30,13284.0,-16639.0,193542.0
006008,INTC,2024-12-31,14260.0,-126.0,196485.0
006008,INTC,2025-03-31,12667.0,-821.0,192242.0
006008,INTC,2025-06-30,12859.0,-2918.0,192520.0
006008,INTC,2025-09-30,13653.0,4063.0,204514.0
006008,INTC,2025-12-31,13674.0,-591.0,211429.0
012141,MSFT,2024-12-31,69632.0,24108.0,533898.0
012141,MSFT,2015-03-31,21729.0,4985.0,176683.0
012141,MSFT,2015-06-30,22180.0,-3195.0,176223.0
012141,MSFT,2015-09-30,20379.0,4902.0,172896.0
012141,MSFT,2015-12-31,23796.0,5018.0,180098.0
012141,MSFT,2016-03-31,20531.0,3756.0,181869.0
012141,MSFT,2016-06-30,20614.0,3122.0,193694.0
012141,MSFT,2016-09-30,21928.0,5667.0,212524.0
012141,MSFT,2016-12-31,25826.0,6267.0,224610.0
012141,MSFT,2017-03-31,23212.0,5486.0,225017.0
012141,MSFT,2017-06-30,25605.0,8069.0,241086.0
012141,MSFT,2017-09-30,24538.0,6576.0,249097.0
012141,MSFT,2017-12-31,28918.0,-6302.0,256003.0
012141,MSFT,2018-03-31,26819.0,7424.0,245497.0
012141,MSFT,2018-06-30,30085.0,8873.0,258848.0
012141,MSFT,2018-09-30,29084.0,8824.0,257619.0
012141,MSFT,2018-12-31,32471.0,8420.0,258859.0
012141,MSFT,2019-03-31,30571.0,8809.0,263281.0
012141,MSFT,2019-06-30,33717.0,13187.0,286556.0
012141,MSFT,2019-09-30,33055.0,10678.0,278955.0
012141,MSFT,2019-12-31,36906.0,11649.0,282794.0
012141,MSFT,2020-03-31,35021.0,10752.0,285449.0
012141,MSFT,2020-06-30,38033.0,11202.0,301311.0
012141,MSFT,2020-09-30,37154.0,13893.0,301001.0
012141,MSFT,2020-12-31,43076.0,15463.0,304137.0
012141,MSFT,2021-03-31,41706.0,15457.0,308879.0
012141,MSFT,2021-06-30,46152.0,16458.0,333779.0
012141,MSFT,2021-09-30,45317.0,20505.0,335418.0
012141,MSFT,2021-12-31,51728.0,18765.0,340389.0
012141,MSFT,2022-03-31,49360.0,16728.0,344607.0
012141,MSFT,2022-06-30,51865.0,16740.0,364840.0
012141,MSFT,2022-09-30,50122.0,17556.0,359784.0
012141,MSFT,2022-12-31,52747.0,16425.0,364552.0
012141,MSFT,2023-03-31,52857.0,18299.0,380088.0
012141,MSFT,2023-06-30,56189.0,20081.0,411976.0
012141,MSFT,2023-09-30,56517.0,22291.0,445785.0
012141,MSFT,2023-12-31,62020.0,21870.0,470558.0
012141,MSFT,2024-03-31,61858.0,21939.0,484275.0
012141,MSFT,2024-06-30,64727.0,22036.0,512163.0
012141,MSFT,2024-09-30,65585.0,24667.0,523013.0
012141,MSFT,2025-03-31,70066.0,25824.0,562624.0
012141,MSFT,2025-06-30,76441.0,27233.0,619003.0
012141,MSFT,2025-09-30,77673.0,27747.0,636351.0
012141,MSFT,2025-12-31,81273.0,38458.0,665302.0
117768,NVDA,2015-10-31,1305.0,246.0,7174.0
117768,NVDA,2015-01-31,1250.514,193.128,7201.368
117768,NVDA,2015-04-30,1151.0,134.0,7291.0
117768,NVDA,2015-07-31,1153.0,26.0,6979.0
117768,NVDA,2016-01-31,1401.0,208.0,7370.0
117768,NVDA,2016-04-30,1305.0,208.0,7108.0
117768,NVDA,2016-07-31,1428.0,261.0,7461.0
117768,NVDA,2016-10-31,2004.0,543.0,9612.0
117768,NVDA,2017-01-31,2173.0,654.0,9841.0
117768,NVDA,2017-04-30,1937.0,507.0,9410.0
117768,NVDA,2017-07-31,2230.0,584.0,9402.0
117768,NVDA,2017-10-31,2636.0,837.0,9830.0
117768,NVDA,2018-01-31,2911.0,1119.0,11241.0
117768,NVDA,2018-04-30,3207.0,1244.0,11460.0
117768,NVDA,2018-07-31,3123.0,1101.0,12882.0
117768,NVDA,2018-10-31,3181.0,1230.0,13657.0
117768,NVDA,2019-01-31,2205.0,566.0,13292.0
117768,NVDA,2019-04-30,2220.0,394.0,14021.0
117768,NVDA,2019-07-31,2579.0,553.0,14775.0
117768,NVDA,2019-10-31,3014.0,898.0,15810.0
117768,NVDA,2020-01-31,3105.0,951.0,17315.0
117768,NVDA,2020-04-30,3080.0,917.0,23254.0
117768,NVDA,2020-07-31,3866.0,622.0,25180.0
117768,NVDA,2020-10-31,4726.0,1336.0,26881.0
117768,NVDA,2021-01-31,5003.0,1457.0,28791.0
117768,NVDA,2021-04-30,5661.0,1912.0,30796.0
117768,NVDA,2021-07-31,6507.0,2373.0,38650.0
117768,NVDA,2021-10-31,7103.0,2464.0,40632.0
117768,NVDA,2022-01-31,7643.0,3003.0,44187.0
117768,NVDA,2022-04-30,8288.0,1618.0,45212.0
117768,NVDA,2022-07-31,6704.0,656.0,43476.0
117768,NVDA,2022-10-31,5931.0,680.0,40488.0
117768,NVDA,2023-01-31,6051.0,1414.0,41182.0
117768,NVDA,2023-04-30,7192.0,2043.0,44460.0
117768,NVDA,2023-07-31,13507.0,6189.0,49555.0
117768,NVDA,2023-10-31,18120.0,9243.0,54148.0
117768,NVDA,2024-01-31,22103.0,12285.0,65728.0
117768,NVDA,2024-04-30,26044.0,14881.0,77072.0
117768,NVDA,2024-07-31,30040.0,16599.0,85227.0
117768,NVDA,2024-10-31,35082.0,19309.0,96013.0
117768,NVDA,2025-01-31,39331.0,22091.0,111601.0
117768,NVDA,2025-04-30,44062.0,18775.0,125254.0
117768,NVDA,2025-07-31,46743.0,26422.0,140740.0
117768,NVDA,2025-10-31,57006.0,31910.0,161148.0
117768,NVDA,2026-01-31,68127.0,42960.0,206803.0
